cons_id,def_id,english,arabic
1,120454,A,ا
2,120455,A check number or claim number to identify the payment,رقم الشيك أو رقم المطالبة لتعريف الدفع
3,120456,A claim must be selected to enable this menu.,يجب تحديد مطالبة لتمكين هذه القائمة.
4,120457,A client certificate for the admin user,شهادة عميل للمستخدم المشرف
5,120458,A Clinical Decision Rule is patient specific information that is filtered and presented at appropriate times to enhance health and health care,قاعدة القرار السريرية هي معلومة خاصة بالمريض يتم تصفيتها وتقديمها في الأوقات المناسبة لتعزيز الصحة والرعاية الصحية
6,120459,A clinical document is attached,تم إرفاق وثيقة طبية
7,120460,A clinical document is attached.,تم إرفاق وثيقة طبية.
8,120461,A code of this type is already selected. Erase the field first if you need to replace it.,تم تحديد رمز من هذا النوع بالفعل. امسح الحقل أولاً إذا كنت بحاجة إلى استبداله.
9,120462,A dated reminder message can be either forwarded by clicking the Forward button or removed from the dated reminders list by clicking on the Set As Completed button,"يمكن إعادة توجيه رسالة تذكير مؤرخة بالنقر فوق الزر ""إعادة توجيه"" أو إزالتها من قائمة التذكيرات المؤرخة بالنقر فوق الزر ""تعيين كمنتهى"""
10,120463,A dedicated security key needs to be purchased,يلزم شراء مفتاح أمان مخصص
11,120464,A default code is optional as the needed code can be entered at the time of placing the actual order,يعد الرمز الافتراضي اختياريًا حيث يمكن إدخال الرمز المطلوب في وقت تقديم الطلب الفعلي
12,120465,A detailed guide on how to enable and setup a Clinical Decision rule is found here,يوجد دليل مفصل حول كيفية تمكين وإعداد قاعدة القرار السريرية هنا
13,120466,A distributor is required,مطلوب موزع
14,120467,A due date can be specified or a specific time period can be chosen for the dated reminder to to show up,يمكن تحديد تاريخ استحقاق أو يمكن اختيار فترة زمنية محددة حتى يظهر التذكير المؤرخ
15,120468,A few words to indicate the reason for the visit,بضع كلمات للإشارة إلى سبب الزيارة
16,120469,A followup appointment can also be scheduled right from the fee sheet.,يمكن أيضًا تحديد موعد للمتابعة مباشرةً من ورقة المصاريف.
17,120470,A GCAC visit form should be added to this visit.,ينبغي اضافة استمارة الزيارة لهذه الزيارة
18,120471,"A HL7 v2.x message simply consists of several lines of text, each line is called a segment and is further divided into fields by using the pipe (|) character",تتكون رسالة HL7 v2.x ببساطة من عدة أسطر من النص ، ويطلق على كل سطر اسم مقطع ويتم تقسيمه إلى مزيد من الحقول باستخدام حرف الأنبوب (|)
