component,protocol_specific,reusable_for_nphies,reuse_type,required_changes,risk,evidence
Background service poll loop (function-name cron + `background_services` row),partly (function name + require_once path are ClaimRev-specific),yes,pattern_reuse_only,New rows with distinct names and handlers; keep the global-fn shim pattern that OpenEMR core requires,low,claimrev-source/table.sql:35-74; claimrev-source/src__Billing_Claimrev_Service.php:30-49; claimrev-source/src__ClaimRev_Notification_Service.php:30-33
Token acquisition / OAuth2 client-credentials flow,no (generic OAuth2),yes,pattern_reuse_only,NPHIES uses OAuth2 client_credentials against a NPHIES authority URL; reuse the retry/backoff loop verbatim; swap authority/scope/client_id/client_secret globals,low,claimrev-source/src__ClaimRevApi.php:41-42,119-178; retry/backoff at 143-159
REST transport (Guzzle HTTP client + timeouts + bearer auth + JSON codec),no (generic HTTPS+JSON),yes,pattern_reuse_only,Same shape works for NPHIES REST endpoints; add NPHIES-required headers (License etc.); NPHIES uses FHIR JSON not proprietary JSON so serializer differs,low,claimrev-source/src__ClaimRevApi.php:44-48,101-112,543-614,621-626
X12 codecs (837 build / 835 parse / 270-271-276-277),yes (X12 is not NPHIES protocol),no,not_reusable,NPHIES is FHIR R4 Bundles — no X12 on the wire. Anything X12 in ClaimRev is out of scope for the NPHIES adapter,n/a,claimrev-source/src__ClaimUpload.php:73-125 (uploads raw EDI from `x12_remote_tracker`); claimrev-source/table.sql:37 (`start_X12_Claimrev_send_files`); claimrev-source/src__PaymentAdvicePostingService.php:34-97 (835 CLP02 mapping)
Shadow-table state machine pattern (mod_claimrev_*),partly (naming is ClaimRev-specific),yes,pattern_reuse_only,Create parallel `mod_nphies_claims` / `mod_nphies_claim_events` / `mod_nphies_eligibility` following identical shape; UNIQUE KEY (pid,encounter,payer_type) for dedupe; append-only event log,low,claimrev-source/table.sql:2-15 (eligibility); 78-102 (claims); 106-123 (claim_events); 145-160 (version_check singleton)
Response parser (HTTP → domain DTOs),partly (parsers are ClaimRev-JSON-shape-specific),yes,pattern_reuse_only,Rewrite for FHIR R4 resources (Bundle/Claim/ClaimResponse/CoverageEligibilityResponse); keep the "parse-then-typed-DTO" discipline,medium,claimrev-source/src__ClaimRevApi.php:633-647 (parseResponse); src__EligibilityObjectCreator.php:1-100 (typed request builder)
Adjudication → billing writeback (ar_session + ar_activity via SLEOB),no (uses OpenEMR core billing surface only),yes,direct_reuse,Reuse `OpenEMR\Billing\SLEOB` + `BillingUtilities::updateClaim(...,7,0,...)` verbatim. NPHIES ClaimResponse maps to same ar_activity rows,low,claimrev-source/src__PaymentAdvicePostingService.php:21-23,141-193 (idempotency lookup); 494-609 (SLEOB posting); 609 (`BillingUtilities::updateClaim(true, ..., 7, 0, ...)`)
Admin UI (public/ page controllers with CSRF + rendering to templates/),partly (endpoints hardcoded to ClaimRev API),yes,pattern_reuse_only,Copy the page-controller + template-partial split; reuse `CsrfHelper` pattern; rewire endpoints,low,claimrev-source tree: `public/*.php` (33 endpoints); `templates/*.php` (22 partials); `src/CsrfHelper.php`
SQL install/upgrade pattern (IfNotTable / IfNotColumnType / IfNotRow guards),no (OpenEMR core convention),yes,direct_reuse,Same DSL. Copy the guard style directly,none,claimrev-source/table.sql:17-31 (IfNotColumnType); 35-74 (IfNotRow); 77,105,126,145 (IfNotTable)
ModuleManagerListener hooks (install/enable/disable/uninstall),no,yes,direct_reuse,Same file layout; adapt `resetStuckServices()` naming; keep the `X12_SFTP` reactivation logic OUT (not relevant for NPHIES),low,claimrev-source/ModuleManagerListener.php (whole file); claimrev-source/src__ClaimRevModuleSetup.php:100-139 (X12_SFTP reactivation — SKIP for NPHIES)
FHIR resource emission from module,n/a,n/a,not_reusable,ClaimRev emits ZERO FHIR resources. Only unwired boilerplate exists (CustomSkeletonFHIRResourceService referenced but never registered),n/a,claimrev-source/src__Bootstrap.php:323-325 (subscribeToApiEvents body is empty); 327-361 (addCustomSkeletonApi / addApiScope / addMetadataConformance defined but never attached to dispatcher)
Event-driven billing hook (subscribe to OpenEMR "claim ready" event),n/a,n/a,not_reusable,No such event exists in OpenEMR core surface used by ClaimRev — ClaimRev polls `x12_remote_tracker` on cron. Confirms Q65 finding: NPHIES module must poll or wrap the billing entry point,n/a,claimrev-source/src__Bootstrap.php:96-235 (only listens to GlobalsInitialized/RenderEvent/AppointmentSet/TwigEnvironment/MenuUpdate — NO billing/claim event); claimrev-source/src__ClaimUpload.php:60-125 (reads `x12_remote_tracker` on cron)
