question_id,category,question_summary,repository_verifiable,status,confidence,primary_finding,decision_impact,recommended_decision,evidence_files,remaining_input
Q1,A-Foundational,Add upstream remote and measure drift,TRUE,answered,CONFIRMED,"upstream remote added (openemr/openemr) and drift measured. The fork has ZERO own commits: `git merge-base HEAD upstream/master` returns HEAD itself and `git rev-list --count upstream/master..HEAD` returns 0. The fork is an unmodified mirror of upstream master at 2026-07-04, 373 commits behind current upstream master and 17 commits diverged from the v8_2_0 release cut.",Removes all fork-drift risk from every other decision. A rebase is a fast-forward today; the cost of the 'no core edits' policy is therefore zero to adopt right now and rises with every local patch added later.,Peg to the release tag (v8_2_0 today) for production; keep upstream/master fetched for security triage. Adopt a strict no-core-edit policy NOW while the diff is provably empty.,05-upstream-fork-drift.md; 07-core-modification-inventory.csv,
Q2,A-Foundational,Upstream rebase cadence,FALSE,external_decision_required,HIGH,"Repository establishes the inputs but not the answer. Upstream cut 3 releases in ~5 months (v8_0_0_3 2026-03-25, v8_1_0 2026-06-01, v8_2_0 2026-07-08) and lands ~373 commits per ~5 weeks of master. Fork currently carries no patches, so rebase cost is presently zero.","Cadence drives CI budget and on-call rota, not architecture. Because the fork has no patches, cadence can be chosen freely today and revisited once the first local patch lands.","Provisional: rebase per upstream point release, plus out-of-band for security advisories. Revisit when the first class-c patch is carried.",05-upstream-fork-drift.md,Eng leadership: sprint capacity + acceptable patch lag.
Q3,A-Foundational,Target production orchestration platform,TRUE,partially_answered,CONFIRMED,"Repository contains ZERO Kubernetes, Helm, Nomad or Swarm artifacts (no Chart.yaml, no values.yaml, no kind: Deployment). It ships 26 docker-compose files, all for CI matrices and developer stacks. Whatever platform is chosen, the orchestration layer is greenfield.","No sunk cost favours any platform; equally, no platform is 'already supported'. The compose files are not production artifacts and must not be mistaken for a deployment baseline.",Provisional: Kubernetes + Helm with charts in a separate infra repo (see Q41). Nothing in-repo blocks or favours this.,evidence/manifests/q3-deployment-artifacts.txt; q3-deployment-artifacts.txt,Ops/Platform: target runtime and managed-service budget.
Q4,B-Identity,Central IdP choice,TRUE,answered,CONFIRMED,"OpenEMR ships a full OAuth2/OIDC authorization SERVER (league/oauth2-server under src/Common/Auth/OpenIDConnect/) but NO generic OIDC relying-party client. The only shipped federation example is Google Sign-In, which maps an external subject onto a LOCAL users row rather than replacing it.","Fronting OpenEMR with Keycloak is not configuration - it requires new code (an RP callback or a trusted-header path that does not exist). The Google Sign-In pattern is the cheapest template, and it proves local users rows remain mandatory under any IdP.","Keycloak as central IdP, OpenEMR as RP built on the Google Sign-In pattern; keep AuthUtils as break-glass. Budget real integration work - this is not a config toggle.",interface/login/login.php; src/Common/Auth/OpenIDConnect/; 11-authentication-authorization-evidence.md,
Q5,B-Identity,Force MFA org-wide,TRUE,answered,CONFIRMED,"MFA implementation ships (MfaUtils, Totp.class.php, u2f-api.js) but there is NO enforcement global: `git grep force_mfa|mfa_required|gbl_force_mfa` returns 0 matches, and library/globals.inc.php contains no MFA global at all. AuthUtils.php has no MFA gate (only a doc comment at :12). Enrolment is per-user opt-in.",Forcing MFA natively means a permanent class-c core patch re-applied every rebase. Enforcing it in the Q4 IdP makes it a policy setting. This is a strong independent argument for the external-IdP direction.,Enforce MFA at the Keycloak layer for all clinical/admin roles. Do NOT patch core to add a force-MFA global.,library/globals.inc.php; src/Common/Auth/AuthUtils.php; src/Common/Auth/MfaUtils.php; 11-authentication-authorization-evidence.md,
Q6,B-Identity,Reverse-proxy trust for REMOTE_USER,TRUE,answered,CONFIRMED,"There is no REMOTE_USER support anywhere: 0 matches tree-wide, all file types. mod_auth_openidc: 0 matches. Separately, the ONE proxy header the app does consume is trusted blindly - collectIpAddresses() appends the entire client-supplied X-Forwarded-For chain unparsed, with no trusted-proxy allowlist anywhere (0 matches).",Q6 is not 'do we trust it' but 'we would have to build it'. Meanwhile the existing XFF handling is an audit-log forging vector that must be fixed regardless of the IdP decision.,Do NOT build REMOTE_USER trust. Use a proper OIDC RP callback (Q4). Independently: parse XFF to the rightmost hop and add a trusted-proxy allowlist before Go-Live.,library/sanitize.inc.php; src/Common/Logging/Audit/LogTablesSink.php; src/Common/Logging/EventAuditLogger.php; 11-authentication-authorization-evidence.md; 15-security-compliance-code-evidence.md,
Q7,B-Identity,Retire Google Sign-In path?,TRUE,answered,CONFIRMED,"Google Sign-In is a complete, working federation path, not dead code: 2 globals (google_signin_enabled :2251, google_signin_client_id :2258), a users.google_signin_email column with a unique constraint, a login-page branch, and full admin CRUD across 3 screens. It is default-off (requires both globals).","It is the only in-tree worked example of 'external subject -> local users row', which is exactly the mapping Keycloak will need. Deleting it destroys the reference implementation for Q4 at zero runtime saving.","KEEP in code, leave disabled via globals. Use it as the implementation template for the Q4 IdP integration. Revisit removal only after Keycloak is in production.",interface/login/login.php; interface/usergroup/usergroup_admin.php; library/globals.inc.php; 11-authentication-authorization-evidence.md,
Q8,B-Identity,Tenant-admin UI for OAuth2 clients,TRUE,answered,CONFIRMED,"Dynamic Client Registration is LIVE, not merely possible. The discovery document advertises ""registration_endpoint"": ""$base_url/registration"" and a listener routes requests containing '/registration'. The existing ClientAdminController provides revoke/inspect only.","DCR covers self-registering partners, so a provisioning UI is a convenience, not a prerequisite. Q8 can be deferred without blocking any integration that can self-register.",DCR only for Day 1. Build the hand-provisioning UI when the first partner that cannot self-register appears.,src/FHIR/SMART/ClientAdminController.php; src/RestControllers/Authorization/OAuth2DiscoveryController.php; src/RestControllers/Subscriber/OAuth2AuthorizationListener.php; 11-authentication-authorization-evidence.md,
Q9,B-Identity,Fork ACL policy: bump v_acl=14 or freeze at 13?,TRUE,answered,CONFIRMED,$v_acl = 13 at version.php:42 (alongside $v_database = 541 at :34). acl_upgrade.php reads the installed version via AclExtended::getAclVersion() and runs a SEQUENTIAL integer ladder of `$upgrade_acl = N; if ($acl_version < $upgrade_acl) {...}` blocks. The counter has no namespace.,"Mechanically confirms the never-bump rule: if the fork writes a 14 block and upstream later ships its own 14, a rebased site that already recorded 14 will SILENTLY SKIP upstream's block. Same failure class as $v_database.",FREEZE at 13. Never author a downstream ACL upgrade block. Put all new authorization in a saas_* layer above gacl.,acl_upgrade.php; version.php; 11-authentication-authorization-evidence.md,
Q10,B-Identity,Complete standalone-encounter SMART launch,TRUE,contradicted,CONFIRMED,"PREMISE CORRECTED. The CapabilityStatement does NOT falsely advertise standalone-encounter launch - context-standalone-encounter is explicitly COMMENTED OUT at Capability.php:50, and the CONTEXT_STANDALONE_ENCOUNTER constant (:103) is declared but never referenced. The real defect is different: CONTEXT_EHR_ENCOUNTER IS advertised (:48) while the launch/encounter scope is absent from every grantable scope list (ServerScopeListEntity.php:53 and ScopeRepository.php:248 list launch/patient only). All 4 launch/encounter matches are documentation.","Scope shrinks and splits: a 2-line scope-list fix resolves the advertised-vs-grantable inconsistency; the encounter picker is a separate, larger deliverable. Docs currently show examples that would fail.","Fix the advertised-vs-grantable inconsistency first (add launch/encounter to both scope lists, or stop advertising context-ehr-encounter). Treat the encounter picker as a separate deliverable tied to NPHIES.",Documentation/api/SMART_ON_FHIR.md; src/Common/Auth/OpenIDConnect/Entities/ServerScopeListEntity.php; src/FHIR/SMART/Capability.php; 11-authentication-authorization-evidence.md,
