asset_id,canonical_filename,relative_path,purpose,format,width,height,aspect_ratio,background_expectation,variant,rtl_ltr_relevance,master_source,byte_size,sha256,validation_status,notes
THIQA-001,palette-swatch-sheet-dark.png,brand/colors/palette-swatch-sheet-dark.png,"color palette specification",PNG,928,1152,0.806,as-designed,dark,LTR,brand/master/,1110793,a2a39df08e880a0fab5b08c430f060d66bcf305aaeb9372a1f135f63d6cf5292,PASS,
THIQA-002,palette-swatch-sheet-light.png,brand/colors/palette-swatch-sheet-light.png,"color palette specification",PNG,928,1152,0.806,as-designed,default,LTR,brand/master/,1099929,71c740aeca1a0ee8011b2455b559f85a7ee5ea51ee7327806462f0e58ef50ca8,PASS,
THIQA-003,transactional-bilingual.png,brand/email/transactional-bilingual.png,"email channel evidence",PNG,1536,2752,0.558,as-designed,default,LTR,brand/master/,4590639,879ed90c3a11d0e42c8293623a29030ce6c05b4120770ebb0fd51614338b7d93,PASS,
THIQA-004,favicon-16x16.png,brand/favicon/favicon-16x16.png,"favicon package",PNG,16,16,1,transparent,default,LTR,brand/master/,326,bac0a982986aacbb74b5f220b22e7147d39dac83c212d586835a33dacb0982d6,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-005,favicon-32x32.png,brand/favicon/favicon-32x32.png,"favicon package",PNG,32,32,1,transparent,default,LTR,brand/master/,672,a434937fa5be1f283a9b2f0fcd43af453629d4ebf424fd548be26a043fc01616,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-006,favicon-48x48.png,brand/favicon/favicon-48x48.png,"favicon package",PNG,48,48,1,transparent,default,LTR,brand/master/,1020,c9e2671c98fd947a404de35d86b12a8543282ffdc243e1d2c7a3d8241200bd3e,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-007,favicon.ico,brand/favicon/favicon.ico,"favicon package",ICO,16,16,1,transparent,default,LTR,brand/master/,15086,bd09d6e0bb4fdac221d277a3b83c490f1d1092ac4fc2534a3663d1705beaa783,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-008,favicon.svg,brand/favicon/favicon.svg,"favicon package",SVG,2158,1756,1.229,transparent,default,LTR,brand/master/,7499,2eebaec6d9481308fe3830ee3143fd979fd72b63185c9b16a9ee41502dbe090b,PASS,"Revision 3 (2026-08-10): embedded C2PA provenance metadata removed; artwork unchanged. SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-009,navbar-arabic-tenant-lockup.png,brand/guidelines/navbar-arabic-tenant-lockup.png,"brand usage guideline evidence",PNG,1376,768,1.792,as-designed,default,RTL,brand/master/,1001958,58ad19372ec04aa235108ff4586768b9096bcab8b8c7f9b0fe000f9a50e10cdc,PASS,
THIQA-010,navbar-english-tenant-lockup.png,brand/guidelines/navbar-english-tenant-lockup.png,"brand usage guideline evidence",PNG,1584,672,2.357,as-designed,default,LTR,brand/master/,1095383,bf62d2f8ed9570232a9044b348c3db6ab782291f9078d29b7eefa2849fbc5457,PASS,
THIQA-011,brand-logo-compact-cream-background.svg,brand/logos/compact/brand-logo-compact-cream-background.svg,"compact logo variant",SVG,1856,2304,0.806,transparent,default,LTR,brand/master/,4087,12976489c81d7b7a30506e849727eb0abed0c2cf709d588ea286b8a04bf33a39,PASS,"Revision 3 (2026-08-10): embedded C2PA provenance metadata removed; artwork unchanged."
THIQA-012,brand-logo-compact.svg,brand/logos/compact/brand-logo-compact.svg,"compact logo variant",SVG,1856,2304,0.806,transparent,default,LTR,brand/master/,5138,8880cf3d495bc605cc2642e3253930217ba759cd7cea9fde3f781932617c9b59,PASS,"Revision 3 (2026-08-10): embedded C2PA provenance metadata removed; artwork unchanged."
THIQA-013,legacy-logo-86x43-a.png,brand/logos/legacy/legacy-logo-86x43-a.png,"legacy OpenEMR compatibility export",PNG,86,43,2,transparent,default,LTR,brand/master/,1008,a29b9467a3642824503f5ac99a21ad9bcba04aa86b4d8592a998ecaa51f34e3a,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-014,legacy-logo-86x43-b.png,brand/logos/legacy/legacy-logo-86x43-b.png,"legacy OpenEMR compatibility export",PNG,86,43,2,transparent,default,LTR,brand/master/,2884,7e31733588f77e51513a630a8833039b4a00a485af8e4a31922c9e75f23aeb70,PASS,
THIQA-015,login_logo.gif,brand/logos/legacy/login_logo.gif,"legacy OpenEMR compatibility export",GIF,250,221,1.131,transparent,default,LTR,brand/master/,7198,79718fdb7b1f8ff8cffb78fa8f0e0afe58cb3f026a14ffb5b088d82ef4f06fd7,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-016,login-logo.png,brand/logos/legacy/login-logo.png,"legacy OpenEMR compatibility export",PNG,1053,390,2.7,transparent,default,LTR,brand/master/,116002,a13ce7d0480417d852f3c469184c68851d4a4e8342068f3cb3082a2ba8cb2799,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-017,logo_1.png,brand/logos/legacy/logo_1.png,"legacy OpenEMR compatibility export",PNG,86,43,2,transparent,default,LTR,brand/master/,1008,a29b9467a3642824503f5ac99a21ad9bcba04aa86b4d8592a998ecaa51f34e3a,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-018,logo_2.png,brand/logos/legacy/logo_2.png,"legacy OpenEMR compatibility export",PNG,86,43,2,transparent,default,LTR,brand/master/,1008,a29b9467a3642824503f5ac99a21ad9bcba04aa86b4d8592a998ecaa51f34e3a,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-019,logo-full-con.png,brand/logos/legacy/logo-full-con.png,"legacy OpenEMR compatibility export",PNG,870,222,3.919,transparent,default,LTR,brand/master/,83609,fb373cb094ceec612dc2182032dd4271122788440a035ee7b2cc34ddb9479e72,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-020,menu-logo.png,brand/logos/legacy/menu-logo.png,"legacy OpenEMR compatibility export",PNG,287,287,1,transparent,default,LTR,brand/master/,9542,87080ff2bd009f169408c8a06496ebade12343ae6f41a82fa21ccd410d02c598,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-021,practice_logo.gif,brand/logos/legacy/practice_logo.gif,"legacy OpenEMR compatibility export",GIF,600,220,2.727,transparent,default,LTR,brand/master/,12140,87bbabf0aa9369507c02719ec30a7b86f04984aaf9717a05944e28bcc7de1034,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-022,practice-logo-compatible.png,brand/logos/legacy/practice-logo-compatible.png,"legacy OpenEMR compatibility export",PNG,1200,804,1.493,transparent,default,LTR,brand/master/,221226,c307614023d5fac8dc42048767717f7f904db9e06865efa6c155f4a2cfbf6e57,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
THIQA-023,login-primary-1053x390.png,brand/logos/login/login-primary-1053x390.png,"login raster export",PNG,1053,390,2.7,transparent,default,LTR,brand/master/,116002,a13ce7d0480417d852f3c469184c68851d4a4e8342068f3cb3082a2ba8cb2799,PASS,"SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2). SkyEagle asset replacement, 2026-08-26 (Phase B2)."
