module,git_tracked_authority,composer_authority,runtime_path,package_version,overlay_risk,production_source_of_truth,composer_package_name,composer_type,composer_source_url,composer_source_ref,git_tracked_file_count,notes
oe-module-comlink-telehealth,TRUE,FALSE,interface/modules/custom_modules/oe-module-comlink-telehealth,,NO,git-tracked,,,,,100,"Tracked only; no root composer.json inside module dir; not required by root composer.lock"
oe-module-dashboard-context,TRUE,FALSE,interface/modules/custom_modules/oe-module-dashboard-context,,NO,git-tracked,openemr/oe-module-dashboard-context,openemr-module,,,23,"Has internal composer.json (blob a4147394) declaring type=openemr-module, but package NOT listed in root composer.lock -> composer install would not touch this path"
oe-module-dorn,TRUE,FALSE,interface/modules/custom_modules/oe-module-dorn,,NO,git-tracked,,,,,38,"Tracked only; no composer.json inside module dir"
oe-module-ehi-exporter,TRUE,FALSE,interface/modules/custom_modules/oe-module-ehi-exporter,,NO,git-tracked,openemr/oe-module-ehi-exporter,openemr-module,,,35,"Has internal composer.json (blob 30aa0397) declaring type=openemr-module + requires openemr/oe-module-installer-plugin ^0.1.0, but package NOT listed in root composer.lock"
oe-module-faxsms,TRUE,FALSE,interface/modules/custom_modules/oe-module-faxsms,,NO,git-tracked,,,,,74,"Tracked only; no composer.json inside module dir"
oe-module-prior-authorizations,TRUE,FALSE,interface/modules/custom_modules/oe-module-prior-authorizations,,NO,git-tracked,,,,,15,"Tracked only; no composer.json inside module dir"
oe-module-weno,TRUE,FALSE,interface/modules/custom_modules/oe-module-weno,,NO,git-tracked,openemr/oe-module-weno,openemr-module,,,42,"Has internal composer.json (blob ff088f0d) declaring type=openemr-module with conflict openemr/openemr>=7.0.1, not in root composer.lock"
oe-module-claimrev-connect,FALSE,TRUE,interface/modules/custom_modules/oe-module-claimrev-connect,v2.1.6,NO,composer,claimrevolution/oe-module-claimrev-connect,openemr-module,https://github.com/claimrevolution/oe-module-claimrev-connect.git,978b0dd498e0e166992259926d6fa77bf56266d4,0,"Composer-installed only; require ^2.1 at composer.json:52; resolved to v2.1.6 (composer.lock:426); plugin will create interface/modules/custom_modules/oe-module-claimrev-connect on composer install"
oe-module-cqm,FALSE,FALSE,interface/modules/custom_modules/oe-module-cqm,,NO,neither,openemr/oe-module-cqm,openemr-module,https://github.com/openemr/oe-module-cqm,,0,"Declared as VCS repository at composer.json:166-169 but NOT in require and NOT in composer.lock -> unused. GitHub master composer.json shows type=openemr-module"
wkhtmltopdf-openemr,FALSE,FALSE,vendor/openemr/wkhtmltopdf-openemr,,NO,neither,openemr/wkhtmltopdf-openemr,library,https://github.com/openemr/wkhtmltopdf-openemr,,0,"VCS repo at composer.json:161-165; GitHub master composer.json has no type field -> defaults to library; would install to vendor/, not to interface/modules; NOT in root composer.lock so not required"
oe-module-installer-plugin,FALSE,TRUE,vendor/openemr/oe-module-installer-plugin,0.1.5,NO,composer,openemr/oe-module-installer-plugin,composer-plugin,https://github.com/openemr/oe-module-installer-plugin.git,4803eb0e6ad07328bd0eac485d0b2ff9e075f9f6,0,"Composer plugin (type=composer-plugin); allow-listed at composer.json:205; installs to vendor/ not modules; registers CustomModuleInstaller + ZendModuleInstaller at composer runtime"
