workflow_file,workflow_name,triggers,jobs,os_matrix,php_matrix,mariadb_matrix,mysql_matrix,invokes_phpunit_xml,invokes_phpunit_isolated_xml,invokes_phpunit_integration_xml,uses_codecov,is_reusable,uses_secrets_flagged,notes
.github/workflows/all-checks-passed.yml,All Checks Passed,pull_request|push,all-checks,,,,,False,False,False,False,False,GITHUB_TOKEN,
.github/workflows/api-docs.yml,API Docs Freshness Checks,pull_request|push,check,ubuntu-24.04,8.2,,,False,False,False,False,False,,
.github/workflows/branch-cut-automation.yml,Branch-Cut Automation,create|workflow_dispatch,branch-cut,ubuntu-24.04,8.5,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/build-dev-php-fpm-docker.yml,Nightly Build development 8.6 php-fpm Docker,schedule|workflow_dispatch,build,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/check-vendored-contracts.yml,Check Vendored Contracts,pull_request,drift,,,,,False,False,False,False,False,,
.github/workflows/claude-review-reusable.yml,Claude PR Review (reusable),workflow_call,review,,,,,False,False,False,False,True,ANTHROPIC_API_KEY,reusable
.github/workflows/claude-review.yml,Claude PR Review,issue_comment,call-review,,,,,False,False,False,False,False,ANTHROPIC_API_KEY,
.github/workflows/composer-require-checker.yml,Composer Require Checker,pull_request|push|workflow_dispatch,composer-require-checker,,,,,False,False,False,False,False,,
.github/workflows/composer.yml,Composer Checks,pull_request|push,composer,ubuntu-24.04,8.2,,,False,False,False,False,False,,
.github/workflows/conventional-commits.yml,Conventional Commits,pull_request,validate_pr_title,ubuntu-24.04,8.5,,,False,False,False,False,False,,
.github/workflows/database-version.yml,Database Version Check,pull_request,check-v-database,,,,,False,False,False,False,False,,
.github/workflows/database.yml,Database,pull_request|push,mysql,,,,mysql:8.0,False,False,False,False,False,,
.github/workflows/dependabot-auto-merge.yml,Dependabot Auto-Merge,pull_request_target,auto-merge,,,,,False,False,False,False,False,AUTO_MERGE_APP_PRIVATE_KEY,
.github/workflows/docker-build-322.yml,Flex 3.22 Dockers Build,schedule|workflow_dispatch,build,,,,,False,False,False,False,True,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,reusable+dispatch
.github/workflows/docker-build-323.yml,Flex 3.23 Dockers Build,schedule|workflow_dispatch,build,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/docker-build-edge.yml,Flex Edge Dockers Nightly Build,schedule|workflow_dispatch,build,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/docker-build-flex-core.yml,Flex Docker Build Core,workflow_call,build,ubuntu-24.04,,,,False,False,False,False,True,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,reusable
.github/workflows/docker-build-release.yml,Docker build release,push|workflow_dispatch,build,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/docker-compose-lint.yml,Docker Compose Linting,pull_request|push,dclint,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/docker-lint-hadolint.yml,Dockerfile Linting,pull_request|push,hadolint,,,,,False,False,False,False,False,,
.github/workflows/docker-push-dockerhub-readme.yml,Push Docker Hub readme,pull_request|workflow_dispatch|workflow_run,render-and-push,,,,,False,False,False,False,False,DOCKERHUB_TOKEN|DOCKERHUB_USERNAME,
.github/workflows/docker-release-orchestrator.yml,Docker release orchestrator,push|schedule|workflow_dispatch,compute-matrix|fan-out,,,,,False,False,False,False,False,,
.github/workflows/docker-test-bats.yml,"BATS Tests (release, binary, flex)",pull_request|push,bats-binary|bats-flex|bats-release,,,,,False,False,False,False,False,,
.github/workflows/docker-test-container-functionality.yml,"Container Functionality (release, binary, flex)",pull_request|push|workflow_dispatch,functionality-binary|functionality-flex|functionality-release,,,,,False,False,False,False,False,,
.github/workflows/docker-test-core.yml,OpenEMR Docker Test Core,workflow_call,collect-production-targets|development-test|production-test,ubuntu-latest,,,,False,False,False,False,True,,reusable
.github/workflows/docker-test-flex-322.yml,OpenEMR Flex 3.22 Docker Test,pull_request|push,build,,,,,False,False,False,False,False,,
.github/workflows/docker-test-flex-323.yml,OpenEMR Flex 3.23 Docker Test,pull_request|push,build,,,,,False,False,False,False,False,,
.github/workflows/docker-test-flex-edge.yml,OpenEMR Flex Edge Docker Test,pull_request|push,build,,,,,False,False,False,False,False,,
.github/workflows/docker-test-release.yml,Docker release test,pull_request|push,build,,,,,False,False,False,False,False,,
.github/workflows/docker-validate-byte-identical.yml,Validate byte-identical files,pull_request|schedule|workflow_dispatch,diff-against-rel-branches,,,,,False,False,False,False,False,,
.github/workflows/docker-validate-release-targets.yml,Validate release-targets.yml,pull_request,validate,,,,,False,False,False,False,False,,
.github/workflows/inferno-test.yml,Inferno Certification Test,pull_request|push,check_secret|inferno_certification_test,ubuntu-24.04,8.5,,,False,False,False,True,False,CODECOV_TOKEN|DOCKERHUB_TOKEN|DOCKERHUB_USERNAME|INFERNO_PAT,
.github/workflows/integration-tests.yml,Integration tests,pull_request|push,test,ubuntu-24.04,8.2|8.3|8.4|8.5,MariaDB 10.11 (LTS)|MariaDB 10.6 (LTS)|MariaDB 11.4 (LTS)|MariaDB 11.8 (LTS)|MariaDB 12|mariadb:10.11|mariadb:10.6|mariadb:11.4|mariadb:11.8|mariadb:12,MySQL 5.7|MySQL 8.4 (LTS)|MySQL 9.7 (LTS)|mysql:5.7|mysql:8.4|mysql:9.7,True,False,False,True,False,CODECOV_TOKEN,
.github/workflows/isolated-tests.yml,Isolated Tests,pull_request|push,isolated-tests,ubuntu-24.04,8.2|8.3|8.4|8.5|8.6,,,True,True,False,True,False,CODECOV_TOKEN,
.github/workflows/js-test.yml,JS Unit Test,pull_request|push,js_unit_test,ubuntu-24.04,,,,False,False,False,False,False,,
.github/workflows/notify-release-targets-changed.yml,Notify release-targets-changed,push|workflow_dispatch,dispatch,ubuntu-24.04,8.5,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/patch-prep-automation.yml,Patch-Prep Automation,push|workflow_dispatch,patch-prep,ubuntu-24.04,8.5,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/phpstan-baseline-diff.yml,PHPStan Baseline Diff,workflow_run,comment,,,,,False,False,False,False,False,GITHUB_TOKEN,
.github/workflows/phpstan-types.yml,PHPStan Types,pull_request|push|workflow_dispatch,check-phpstan-types,,,,,False,False,False,False,False,,
.github/workflows/phpstan.yml,PHPStan,pull_request|push,phpstan,ubuntu-24.04,8.5,,,False,False,False,False,False,,
.github/workflows/pre-commit.yml,Pre-commit,pull_request|push,pre-commit,,,,,False,False,False,False,False,,
.github/workflows/rector.yml,Rector PHP Analysis,pull_request|push,rector,ubuntu-24.04,8.5,,,False,False,False,False,False,,
.github/workflows/refresh-reserved-word-supplement.yml,Refresh reserved-word supplement,schedule|workflow_dispatch,refresh,,,mariadb:latest,mysql:latest,False,False,False,False,False,RESERVED_WORD_BOT_PRIVATE_KEY,
.github/workflows/release-permissions-check.yml,Release Permissions Check,workflow_dispatch,probe,ubuntu-24.04,8.5,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/release-prep.yml,Release Prep Conductor,pull_request|push|workflow_dispatch,finalize|prep,ubuntu-24.04,8.5,,,False,False,False,False,False,RELEASE_APP_PRIVATE_KEY,
.github/workflows/semgrep.yml,Semgrep Security Scan,pull_request|push|schedule|workflow_dispatch,semgrep,,,,,False,False,False,False,False,,
.github/workflows/shellcheck.yml,ShellCheck,pull_request|push,shellcheck,,,,,False,False,False,False,False,,
.github/workflows/spellcheck.yml,Spell Check,pull_request|push,spellcheck,,,,,False,False,False,False,False,,
.github/workflows/styling.yml,Styling,pull_request|push,css_styling|js_linting|php_styling,ubuntu-24.04,8.5,,,False,False,False,False,False,,
